divide_id,gw_Coeff,gw_Zmax,gw_Expon,bexp_soil_layers_stag=1,bexp_soil_layers_stag=2,bexp_soil_layers_stag=3,bexp_soil_layers_stag=4,ISLTYP,IVGTYP,dksat_soil_layers_stag=1,dksat_soil_layers_stag=2,dksat_soil_layers_stag=3,dksat_soil_layers_stag=4,psisat_soil_layers_stag=1,psisat_soil_layers_stag=2,psisat_soil_layers_stag=3,psisat_soil_layers_stag=4,cwpvt,mfsno,mp,quartz_soil_layers_stag=1,quartz_soil_layers_stag=2,quartz_soil_layers_stag=3,quartz_soil_layers_stag=4,refkdt,slope,smcmax_soil_layers_stag=1,smcmax_soil_layers_stag=2,smcmax_soil_layers_stag=3,smcmax_soil_layers_stag=4,smcwlt_soil_layers_stag=1,smcwlt_soil_layers_stag=2,smcwlt_soil_layers_stag=3,smcwlt_soil_layers_stag=4,vcmx25
cat-2918228,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,11,2.1061315256273103e-07,2.1061315256273103e-07,2.1061315256273103e-07,2.1061315256273103e-07,0.04282706364800472,0.04282706364800472,0.04282706364800472,0.04282706364800472,0.20432846248149875,3.9525170326232915,11.634913462507908,0.43403801022198035,0.43403801022198035,0.43403801022198035,0.43403801022198035,3.7797894477844243,0.3266436159610749,0.491088200220601,0.491088200220601,0.491088200220601,0.491088200220601,0.06276638931360898,0.06276638931360898,0.06276638931360898,0.06276638931360898,76.88856012374214
cat-2917759,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,5,1.0393580745444245e-07,1.0393580745444245e-07,1.0393580745444245e-07,1.0393580745444245e-07,0.041688878521954416,0.041688878521954416,0.041688878521954416,0.041688878521954416,0.20686322816168662,3.8972401936199854,12.301764012632951,0.4002908170237974,0.4002908170237974,0.4002908170237974,0.4002908170237974,3.7814775271519334,0.3297301021115063,0.490872600927641,0.490872600927641,0.490872600927641,0.490872600927641,0.06597237259200552,0.06597237259200552,0.06597237259200552,0.06597237259200552,71.05765680361135
cat-2917521,0.005,249.814804077,1.0,2.261611223220825,2.261611223220825,2.261611223220825,2.261611223220825,6,5,2.140873202892606e-07,2.140873202892606e-07,2.140873202892606e-07,2.140873202892606e-07,0.12047958494199047,0.12047958494199047,0.12047958494199047,0.12047958494199047,0.35721737146377563,0.618395984172821,7.199278354644775,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,3.8816089630126953,0.5128105282783508,0.42200058698654175,0.42200058698654175,0.42200058698654175,0.42200058698654175,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,54.94198226928711
cat-2917522,0.005,249.814804077,1.0,2.261611223220825,2.261611223220825,2.261611223220825,2.261611223220825,6,5,1.868262499389152e-07,1.868262499389152e-07,1.868262499389152e-07,1.868262499389152e-07,0.06733750930918349,0.06733750930918349,0.06733750930918349,0.06733750930918349,0.35363370453072374,0.6965467109433897,7.320895283365953,0.414339220287547,0.414339220287547,0.414339220287547,0.414339220287547,3.8792223462705664,0.5084468356328815,0.4650826182525701,0.4650826182525701,0.4650826182525701,0.4650826182525701,0.06126805936314385,0.06126805936314385,0.06126805936314385,0.06126805936314385,44.962439000914266
cat-2917601,0.005,249.814804077,1.0,2.261611223220825,2.261611223220825,2.261611223220825,2.261611223220825,6,11,5.033837205328582e-07,5.033837205328582e-07,5.033837205328582e-07,5.033837205328582e-07,0.07102939872447693,0.07102939872447693,0.07102939872447693,0.07102939872447693,0.3185744903488675,0.8917407862707553,7.295269231786722,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,3.888981743508289,0.47719617843579065,0.4370310391145874,0.4370310391145874,0.4370310391145874,0.4370310391145874,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,59.10327953771634
cat-2918222,0.005,249.814804077,1.0,2.261611223220825,2.261611223220825,2.261611223220825,2.261611223220825,6,11,5.227264426610035e-07,5.227264426610035e-07,5.227264426610035e-07,5.227264426610035e-07,0.10629364005968236,0.10629364005968236,0.10629364005968236,0.10629364005968236,0.3572173714637757,0.618395984172821,7.199278354644775,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,3.8816089630126953,0.5128105282783508,0.4220005869865417,0.4220005869865417,0.4220005869865417,0.4220005869865417,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,54.94198226928711
cat-2917602,0.005,249.814804077,1.0,2.261611223220825,2.261611223220825,2.261611223220825,2.261611223220825,6,11,5.361783377386983e-07,5.361783377386983e-07,5.361783377386983e-07,5.361783377386983e-07,0.07486330046588732,0.07486330046588732,0.07486330046588732,0.07486330046588732,0.3496048071677098,0.6722443210703288,7.215472551939556,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,3.8830613848804285,0.505794578115813,0.42496155366196764,0.42496155366196764,0.42496155366196764,0.42496155366196764,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,55.755332066749205
cat-2918037,0.005,249.814804077,1.0,2.261611223220825,2.261611223220825,2.261611223220825,2.261611223220825,6,11,5.107533851209516e-07,5.107533851209516e-07,5.107533851209516e-07,5.107533851209516e-07,0.06864769452728797,0.06864769452728797,0.06864769452728797,0.06864769452728797,0.35721737146377563,0.6183959841728212,6.705707984237416,0.4000000059604644,0.4000000059604644,0.4000000059604644,0.4000000059604644,3.8816089630126953,0.5128105282783508,0.42200058698654175,0.42200058698654175,0.42200058698654175,0.42200058698654175,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,53.05861723722043
cat-2918221,0.005,249.814804077,1.0,2.261611223220825,2.261611223220825,2.261611223220825,2.261611223220825,6,11,3.630064876933596e-07,3.630064876933596e-07,3.630064876933596e-07,3.630064876933596e-07,0.07577645309675561,0.07577645309675561,0.07577645309675561,0.07577645309675561,0.34723341001245556,0.6890186677907782,6.715896600481727,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,3.8835138301999574,0.5036090327976018,0.42588392721151336,0.42588392721151336,0.42588392721151336,0.42588392721151336,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,54.08316887518634
cat-2917603,0.005,249.814804077,1.0,2.261611223220825,2.261611223220825,2.261611223220825,2.261611223220825,6,11,4.87030653465611e-07,4.87030653465611e-07,4.87030653465611e-07,4.87030653465611e-07,0.04330650956165387,0.04330650956165387,0.04330650956165387,0.04330650956165387,0.35721737146377563,0.618395984172821,6.895150091377629,0.4000000059604644,0.4000000059604644,0.4000000059604644,0.4000000059604644,3.8816089630126953,0.5128105282783508,0.42200058698654175,0.42200058698654175,0.42200058698654175,0.42200058698654175,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,53.781490127451754
